Job Title,Company Name,Rating,Location,Salary
Security Researcher,CrowdStrike,3.0,Remote,"$72,000 - $93,000 a year"
Security Investigator,Caterpillar,3.9,"East Peoria, IL","$99,000 - $140,000 a year"
Junior Cyber Security SOC Analyst,General Dynamics Information Technology,3.8,"Washington, DC","$86,000 - $130,000 a year"
Developer / Cyber Security Blue Team Tester,LOCKHEED MARTIN CORPORATION,4.1,"Fort Worth, TX","$90,000 - $120,000 a year"
Cyber Security Architect,Piper Companies,4.0,"Wilmington, DE",$75 - $90 an hour
Cyber Security Engineer,Core One,Not Given,"College Park, MD","$120,000 - $170,000 a year"
Jr. Asymmetric Cyber Security Analyst,ECS Federal LLC,3.5,"Alexandria, VA","$76,000 - $100,000 a year"
Cyber Security / SA&A - Falls Church,LOCKHEED MARTIN CORPORATION,4.1,"Washington, DC","$84,000 - $110,000 a year"
Cyber Security Analyst,Venatore Llc,4.3,"Tampa, FL","$81,000 - $110,000 a year"
Cyber Security Research Engineer - Junior,Northeast Information Discovery,Not Given,"Canastota, NY","$85,000 - $120,000 a year"
Cyber Security Analyst,General Atomics and Affiliated Companies,4.0,"San Diego, CA","$74,000 - $93,000 a year"
Cyber Security Level 2,PROLIM Corporation,3.3,"Northville, MI","$110,000 - $140,000 a year"
Cyber Security Intern,Collins Aerospace,3.7,"Farmington, CT","$58,000 - $81,000 a year"
Junior Cyber Security Engineer,Collins Aerospace,3.7,"East Hartford, CT","$83,000 - $110,000 a year"
Incident Response Cyber Security Engineer,Leidos,3.7,"Silver Spring, MD","$90,000 - $130,000 a year"
Cyber Security Architect,"NFF, Inc",3.7,"Washington, DC","$110,000 - $150,000 a year"
Cyber Security Engineer,Novel Applications of Vital Information,Not Given,"Arlington, VA","$110,000 - $150,000 a year"
CYBER SECURITY ENGINEER-RS 4,ULA,3.9,"Denver, CO","$84,000 - $110,000 a year"
Jr Info Security Analyst,American Express,4.1,"Phoenix, AZ","$57,000 - $78,000 a year"
Security Investigation Unit Specialist,Paychex Inc.,3.7,"Webster, NY","$100,000 - $130,000 a year"
"Compliance Manager, Cyber Security",NBCUniversal,4.1,"New York, NY","$99,000 - $140,000 a year"
Cyber Security & Policy Engineer,Offensive Security,Not Given,"New York, NY","$96,000 - $140,000 a year"
"Cyber Security Research, Vulnerability Management",Siemens,4.0,"Princeton, NJ","$95,000 - $130,000 a year"
Associate Cyber Security Analyst,Foreground Security,4.3,"Sterling, VA","$64,000 - $84,000 a year"
SECURITY SPECIALIST,US Department of Defense,4.3,"Kirtland AFB, NM","$89,000 - $120,000 a year"
Cyber Security Engineer,Leidos,3.7,"Orlando, FL","$84,000 - $110,000 a year"
Cyber Security Analyst,Collins Aerospace,3.7,"Farmington, CT","$93,000 - $130,000 a year"
Cyber Security Specialist,Leidos,3.7,"Washington, DC","$89,000 - $120,000 a year"
Junior Cyber Security Engineer,LinQuest Corporation,3.6,"El Segundo, CA","$78,000 - $100,000 a year"
Cyber Security Analyst,General Dynamics Information Technology,3.8,"Fayetteville, NC","$76,000 - $97,000 a year"
Security Engineer,"Amazon Web Services, Inc.",3.6,"Seattle, WA","$120,000 - $160,000 a year"
Cyber Security Engineer,Burlington Stores,3.4,"Edgewater Park, NJ","$110,000 - $140,000 a year"
Associate Cyber Security Analyst,Raytheon,4.0,"Sterling, VA","$61,000 - $76,000 a year"
Cyber Security Analyst,ASRC Federal Holding Company,3.7,"Moffett Field, CA","$77,000 - $100,000 a year"
Cyber Endpoint Security - Manager,Deloitte,4.0,"Washington, DC","$120,000 - $150,000 a year"
Cyber Security Engineer,LOCKHEED MARTIN CORPORATION,4.1,"Huntsville, AL","$92,000 - $130,000 a year"
Security Specialist,US National Aeronautics and Space Administration,4.4,"Fairmont, WV","$75,000 - $97,000 a year"
Classified Cyber Security Staff,LOCKHEED MARTIN CORPORATION,4.1,"Sunnyvale, CA","$82,000 - $120,000 a year"
Cyber Security Analyst,National Research Center for College & University Admissions,3.8,United States,"$100,000 - $140,000 a year"
Cyber Security Research Engineer - Midlevel,Northeast Information Discovery,Not Given,"Canastota, NY","$100,000 - $140,000 a year"
JSP Cyber Security Analyst,General Dynamics Information Technology,3.8,"Washington, DC","$77,000 - $110,000 a year"
Junior Cyber Security Analyst (Veterans Apply!),Workforce Opportunity Services,3.4,"Washington, DC",$30 an hour
Cyber Security Analyst,By Light Professional IT Services,4.0,"Tampa, FL","$96,000 - $130,000 a year"
Cyber Security Assessment and Compliance Specialist,General Dynamics Information Technology,3.8,"Washington, DC","$87,000 - $120,000 a year"
Business Unit Security Officer,Manulife,3.9,"Boston, MA","$99,000 - $150,000 a year"
Cyber Security Threat Analyst,Microsoft,4.2,"Redmond, WA","$83,000 - $110,000 a year"
"Cyber Security, Information Systems Security Officer (ISSO)",BAE Systems,3.9,"San Diego, CA","$90,000 - $120,000 a year"
Cyber Security Incident Responder,Medtronic,3.9,"Mounds View, MN","$96,000 - $130,000 a year"
Cyber Security Project Manager,Leidos,3.7,Remote,"$99,000 - $130,000 a year"
Cyber Security System Integrity Engineer,Foreground Security,4.3,"McKinney, TX","$110,000 - $150,000 a year"
Cyber Security Engineer Architect,Quevera,Not Given,"Chantilly, VA","$120,000 - $170,000 a year"
Security Analyst Intern,Experian,3.8,"Schaumburg, IL","$61,000 - $77,000 a year"
Summer Intern (Government),AT&T,3.8,"Columbia, MD","$77,000 - $110,000 a year"
Cyber Security Architect,Salient CRGT,3.4,"Washington, DC","$110,000 - $140,000 a year"
Cyber Security Scanning Lead,General Dynamics Information Technology,3.8,"Rosslyn, VA","$100,000 - $140,000 a year"
Cyber Security Engineer,Huntington Bank,3.6,"Columbus, OH","$84,000 - $100,000 a year"
"Intern, Cyber Risk","DUFF AND PHELPS, LLC",3.4,"Pittsburgh, PA","$57,000 - $81,000 a year"
Red Team Cyber Security Forensic Intrusion Analyst (Government),AT&T,3.8,"Washington, DC","$82,000 - $110,000 a year"
Cyber Security Analyst,Concurrent Technologies Corporation,3.7,"Arlington, VA","$83,000 - $120,000 a year"
Cyber Security Specialist,Concurrent Technologies Corporation,3.7,"Arlington, VA","$95,000 - $130,000 a year"
Information Security Analyst,American Express,4.1,"Phoenix, AZ","$73,000 - $100,000 a year"
Cyber Security Analyst - USCG,"X Technologies ,Inc",Not Given,"Washington, DC","$76,000 - $110,000 a year"
Cyber Security Analyst-USAF WS,"MacAulay-Brown, Inc. (MacB)",4.1,"Las Vegas, NV","$82,000 - $110,000 a year"
Cyber-Security Officer IRES - SAFB,Jacobs,3.9,"Schriever AFB, CO","$71,000 - $100,000 a year"
Senior Cyber Security Specialist,"Attain, LLC",3.8,"Washington, DC","$120,000 - $160,000 a year"
Cyber Security Engineer,Solidus Technical Solutions,Not Given,"Lexington, MA","$91,000 - $120,000 a year"
Information System Security Officer (ISSO),LOCKHEED MARTIN CORPORATION,4.1,"Manassas, VA","$86,000 - $130,000 a year"
Cyber Security/GRC Senior Specialist,Wilson Elser,Not Given,"New York, NY","$120,000 - $160,000 a year"
"IT-Cyber Security, Insider Threat Leader",Marvell,3.4,"Santa Clara, CA","$120,000 - $170,000 a year"
Cyber Security Specialist,Zachary Piper Solutions,3.8,"Quantico, VA","$80,000 - $90,000 a year"
Security Specialist,US Department of the Army,4.4,"Arlington, VA","$120,000 - $150,000 a year"
Senior Cyber Security Analyst,AT&T,3.8,"New York, NY","$100,000 - $140,000 a year"
Cyber Security -Security Assessor,Semper Valens Solutions,4.3,"Fort Gordon, GA","$93,000 - $130,000 a year"
Junior Cyber Threat Analyst,General Dynamics Mission Systems,3.7,"Linthicum, MD","$65,000 - $90,000 a year"
Cyber Security Analyst,Interstates,3.9,"Sioux Falls, SD","$75,000 - $100,000 a year"
Junior Information Security Analyst,System Dynamics Intl,Not Given,"Orlando, FL","$64,000 - $89,000 a year"
Cyber Security Engineer,Zenetex LLC,4.1,"Ogden, UT","$88,000 - $120,000 a year"
Sr Executive Protection Security Specialist,Exelon Corporation,4.0,"Oak Brook, IL","$78,000 - $100,000 a year"
IT Analyst 2 (Cyber Security Analyst),Technology Ventures,3.8,"Reston, VA","$100,000 - $140,000 a year"
"Data Analyst, Security","ExtraHop Networks, Inc.",3.8,"Seattle, WA","$96,000 - $130,000 a year"
Security Operations Manager,Netflix,3.9,"Los Angeles, CA","$68,000 - $96,000 a year"
Cyber Security Analyst III,Burlington Stores,3.4,"Edgewater Park, NJ","$99,000 - $130,000 a year"
Cyber Security Operations Center Specialist -Weekend Shift,Datapath,3.3,"Duluth, GA","$56,000 - $77,000 a year"
Cyber Network Security Analyst,Northrop Grumman,4.0,"Arlington, VA","$88,000 - $120,000 a year"
Director - Security Incident Response,United Airlines Inc.,4.0,"Chicago, IL","$130,000 - $180,000 a year"
Principle Product Cyber Security Engineer,Collins Aerospace,3.7,"Farmington, CT","$99,000 - $140,000 a year"
Cyber Security Architect,Interstates,3.9,"Sioux Falls, SD","$81,000 - $110,000 a year"
Cloud Security Architect,Federal Reserve Bank of Chicago,Not Given,"Chicago, IL","$120,000 - $170,000 a year"
IT Specialist (Cyber Security),Parsons,3.8,"Aiken, SC","$86,000 - $110,000 a year"
IT Security Assessment Engineer (Jr. CCA Tester),VariQ,3.6,Virginia,"$89,000 - $130,000 a year"
Cyber Security Analyst,Technology Security Associates Inc,Not Given,"Saint Inigoes, MD","$80,000 - $100,000 a year"
"Director, Cyber Security Services - IAM",KPMG,4.0,"Washington, DC","$120,000 - $150,000 a year"
SECURITY SPECIALIST,US Department of the Air Force,4.3,"Wright-Patterson AFB, OH","$76,000 - $99,000 a year"
Cyber Security Specialist Mid (Government),AT&T,3.8,"Camp Pendleton South, CA","$52,000 - $67,000 a year"
Analyst - Cyber Threat Intelligence,United Airlines Inc.,4.0,"Chicago, IL","$82,000 - $110,000 a year"
Security Engineer,KIND,4.2,"New York, NY","$120,000 - $170,000 a year"
Cyber Security Analyst,United Shore,3.3,"Pontiac, MI","$91,000 - $120,000 a year"
Analyst II - Cyber Security,Las Vegas Sands Corp.,3.6,"Las Vegas, NV","$79,000 - $110,000 a year"
"IT SECURITY ANALYST, JR",BBVA Compass,3.8,"Birmingham, AL","$80,000 - $110,000 a year"
Cyber Security Engineer,IBM,3.9,"Annapolis, MD","$89,000 - $110,000 a year"
SUPERVISORY SECURITY SPECIALIST,US Department of the Navy,4.3,"Albany, GA","$62,000 - $81,000 a year"
Security Developer,Comcast,3.7,"Philadelphia, PA","$97,000 - $130,000 a year"
Cybersecurity Validator/Security Control Assessor,Booz Allen Hamilton,3.9,"Virginia Beach, VA","$100,000 - $140,000 a year"
Security Pen Tester,KPMG,4.0,"Denver, CO","$74,000 - $98,000 a year"
Cyber Security Engineer - Vice President,Morgan Stanley,3.9,"Baltimore, MD","$110,000 - $150,000 a year"
Cyber Security Analyst II / Cyber Security Risk Analyst & Operator,Scientific Research Corporation,3.9,"Patuxent River, MD","$120,000 - $160,000 a year"
Specialist :Network Security,MTN SA,Not Given,"Enterprise, IN","$89,000 - $120,000 a year"
INSTITUTIONAL SECURITY SPECIALIST I - 60006114,The State of Florida,3.7,"Chattahoochee, FL","$34,000 - $87,000 a year"
Rail Safety & Security Specialist 1(PG-L) Intermodal,State of Georgia,3.3,"Atlanta, GA","$59,000 - $79,000 a year"
"Cyber Security Forensic Specialist, w/Poly",General Dynamics Information Technology,3.8,"Herndon, VA","$59,000 - $86,000 a year"
L2 Support Engineer: IBM Security Systems - Guardium Technical Support,IBM,3.9,"Littleton, MA","$110,000 - $150,000 a year"
Security Engineer,"Cross Country Home Services, Inc.",3.1,"Boca Raton, FL","$110,000 - $150,000 a year"
Cyber Security Director,Hennepin Healthcare,3.6,"Minneapolis, MN","$95,000 - $130,000 a year"
"Director, Cyber Security Services",KPMG,4.0,"Los Angeles, CA","$100,000 - $140,000 a year"
Junior Product Security Engineer,Ping Identity,3.6,"Denver, CO","$75,000 - $100,000 a year"
Cyber Security SME,General Dynamics Information Technology,3.8,"Fort Belvoir, VA","$98,000 - $130,000 a year"
Security Administrator,"Woongjin, Inc",3.4,"Plano, TX","$87,000 - $120,000 a year"
SECURITY SPECIALIST,US Department of the Navy,4.3,"Arlington, VA","$99,000 - $130,000 a year"
Cyber/IT Security Specialist - AVP DT,Deutsche Bank,3.9,"McLean, VA","$110,000 - $150,000 a year"
Cyber Incident Handler,Booz Allen Hamilton,3.9,"Fort Shafter, HI","$55,000 - $73,000 a year"
Information Security Engineer – Data Protection,Bank of America,3.8,"Denver, CO","$100,000 - $150,000 a year"
Security Markets Specialist (Northeast /Public Sector),Splunk,4.2,"McLean, VA","$110,000 - $140,000 a year"
Cyber-Intelligence Analyst,Perspecta,3.2,"San Diego, CA","$91,000 - $120,000 a year"
Cyber Red Team Specialist,Deloitte,4.0,"Los Angeles, CA","$110,000 - $150,000 a year"
Lead Cyber Security Analyst (Information Security Analyst III),Fairfax County Government,4.2,"Fairfax, VA","$78,000 - $130,000 a year"
Manager Cyber Security Operations Center,Hanesbrands Inc,3.8,"Winston-Salem, NC","$89,000 - $120,000 a year"
Cyber Security/IA Analyst,Summit Technical Solutions,3.1,"Huntsville, AL","$76,000 - $100,000 a year"
Data Security Functional Analyst #3045~,Costco Wholesale,4.2,"Issaquah, WA","$63,000 - $84,000 a year"
Cyber Threat Hunter,IBM,3.9,United States,"$85,000 - $120,000 a year"
Security Engineer I (Cryptography/Cybersecurity),First Data,3.5,"Omaha, NE","$88,000 - $120,000 a year"
"Director, Security GRC",Credit Karma,Not Given,"San Francisco, CA","$130,000 - $180,000 a year"
Director Security Capabilities Operations & Third Party Hosting,American Express,4.1,"Phoenix, AZ","$120,000 - $170,000 a year"
Security and Privacy Auditor,Google,4.3,"Sunnyvale, CA","$100,000 - $140,000 a year"
Analyst - Cyber Threat Intel,United Airlines Inc.,4.0,"Chicago, IL","$61,000 - $86,000 a year"
Information Systems Security Officer / Eglin AFB,LOCKHEED MARTIN CORPORATION,4.1,"Eglin AFB, FL","$61,000 - $79,000 a year"
"Manager, Cyber Security Services - Privacy",KPMG,4.0,"New York, NY","$110,000 - $160,000 a year"
Supervisory Transportation Security Specialist,Transportation Security Administration,3.4,"Chicago, IL","$80,000 a year"
Information Systems Security Officer,LOCKHEED MARTIN CORPORATION,4.1,"Hurlburt Field, FL","$71,000 - $94,000 a year"
Penetration Tester and Vulnerability Specialist,Center For Internet Security,4.6,Remote,"$57,000 - $76,000 a year"
Security Architect,Slalom Consulting,3.7,"Dallas, TX","$120,000 - $160,000 a year"
Business Information Security Officer (BISO) - Intel Markets,Leidos,3.7,Remote,"$97,000 - $120,000 a year"
Supervisory Physical Security Specialist,Centers for Disease Control and Prevention,4.2,"Atlanta, GA","$110,000 - $140,000 a year"
Security Architect 2,Comcast,3.7,"Philadelphia, PA","$140,000 - $180,000 a year"
Security Specialist,Alaka`ina Foundation Family of Companies,3.5,"Honolulu, HI","$62,000 - $82,000 a year"
Cyber Security Customer Support Analyst (s),GTB Technologies,Not Given,United States,"$89,000 - $130,000 a year"
Cyber Defense Infrastructure Engineer Penn State Health Cyber Security,Penn State Milton S. Hershey Medical Center,3.9,"Hershey, PA","$94,000 - $140,000 a year"
Cyber Training and Exercise Intern,Booz Allen Hamilton,3.9,"Annapolis Junction, MD","$39,000 - $54,000 a year"
Security Specialist,Gilbane,4.2,"Arlington, VA","$80,000 - $100,000 a year"
Cyber Threat Analyst,General Dynamics Mission Systems,3.7,"Linthicum, MD","$75,000 - $100,000 a year"
Administrative Personnel Security Specialist,ABSc,3.4,"Fort Belvoir, VA","$64,000 - $84,000 a year"
Senior IT Cyber Security Analyst,Utah Valley University,4.2,"Orem, UT","$60,000 - $94,000 a year"
McAfee Cyber Threat Intelligence Analyst,McAfee,3.7,"New York, NY","$77,000 - $98,000 a year"
Director of Corporate Security,Radiance Technologies Inc.,4.2,"Huntsville, AL","$110,000 - $140,000 a year"
Sr. Cyber Analyst,Piper Companies,4.0,"Clinton, MD","$140,000 - $150,000 a year"
Security Delivery Project Executive,IBM,3.9,California,"$110,000 - $150,000 a year"
Information Security Manager,JP Morgan Chase,3.9,"Tampa, FL","$120,000 - $160,000 a year"
Director – Technology and Cyber Security Services,MAXIMUS,3.3,"Falls Church, VA","$120,000 - $160,000 a year"
Security Specialist,"MacAulay-Brown, Inc. (MacB)",4.1,"Dayton, OH","$57,000 - $77,000 a year"
Security Specialist,US Department of Health And Human Services,4.1,"Montgomery County, MD","$58,000 - $75,000 a year"
Cyber Security Scanning Lead (Active Secret Clearance),General Dynamics Information Technology,3.8,"Rosslyn, VA","$96,000 - $130,000 a year"
Security Specialist,Deloitte,4.0,"Arlington, VA","$66,000 - $96,000 a year"
Security Awareness Associate Director,Collins Aerospace,3.7,"Palm Beach Gardens, FL","$76,000 - $95,000 a year"
Mobile Security Engineer,Bank of America,3.8,"Chicago, IL","$120,000 - $160,000 a year"
Security Engineer I,iCIMS,3.5,"Holmdel, NJ","$120,000 - $160,000 a year"
Security Analyst Internship,Braintrace,Not Given,"Salt Lake City, UT","$48,000 - $65,000 a year"
Cyber Security - Vulnerability Management,CACI,3.9,"Shaw AFB, SC",Not mentioned
QRadar Security Consultant,IBM,3.9,"Dallas, TX","$93,000 - $120,000 a year"
Security Solutions Engineer,Comcast,3.7,"Philadelphia, PA","$98,000 - $130,000 a year"
Cyber Security Analyst I,"Sentar, Inc.",Not Given,"Huntsville, AL","$70,000 - $97,000 a year"
"Facility Security Officer (FSO) / Security Manager / Lufkin, TX",LOCKHEED MARTIN CORPORATION,4.1,"Lufkin, TX","$72,000 - $100,000 a year"
Personnel Security Specialist,Federal Aviation Administration,4.2,United States,"$45,000 a year"
Cyber Security Engineer - Nellis AFB,Intelligent Waves Llc,3.8,"Las Vegas, NV","$72,000 - $95,000 a year"
Information Security Manager,American Express,4.1,"New York, NY","$96,000 - $130,000 a year"
"Sr Cyber Security Analyst, Threat Intelligence",T. Rowe Price,3.9,"Owings Mills, MD","$100,000 - $140,000 a year"
Staff Software Engineer - Cyber Security R&D,Collins Aerospace,3.7,"Cedar Rapids, IA","$100,000 - $150,000 a year"
Operations and Cyber Professional,Eiden Systems Corporation,5.0,"Las Vegas, NV","$63,000 - $85,000 a year"
Cyber Security Software Engineer,Pacific Northwest National Laboratory,4.1,"Richland, WA","$100,000 - $140,000 a year"
"Business Information Security Officer (BISO) - Cyber Risk Management - Tampa, FL or New York, NY",Nielsen,3.8,"Oldsmar, FL","$130,000 - $170,000 a year"
Security Operations Engineer,Blend Labs,Not Given,"San Francisco, CA","$110,000 - $150,000 a year"
Security Specialist Mid,Venatore Llc,4.3,"Tampa, FL","$58,000 - $75,000 a year"
Security Administrator: F-35 Autonomic Logistics Information System,BAE Systems,3.9,"Beaufort, SC","$82,000 - $110,000 a year"
DevOps Security Engineer,Collins Aerospace,3.7,"Brooklyn, NY","$110,000 - $160,000 a year"
Cyber Security Manager,LOCKHEED MARTIN CORPORATION,4.1,"Louisville, CO","$82,000 - $110,000 a year"
Cyber Threat Intelligence Analyst,Foreground Security,4.3,"Morrisville, NC","$81,000 - $120,000 a year"
Security Analyst,HackerOne,3.0,United States,"$77,000 - $110,000 a year"
Security Engineer,Verizon,3.9,"Ashburn, VA","$87,000 - $120,000 a year"
Security Analyst I,Blue Cross and Blue Shield of Nebraska (BCBSNE),4.0,"Omaha, NE","$73,000 - $94,000 a year"
Cyber Security Specialist III,Fannie Mae,4.0,"Reston, VA","$87,000 - $110,000 a year"
Information Security Analyst- Data Loss Prenvention,American Express,4.1,"Phoenix, AZ","$69,000 - $94,000 a year"
CI Cyber SME,Core One,Not Given,"Washington, DC","$82,000 - $110,000 a year"
"Security Analyst - SOC - Dallas, TX",Fujitsu,3.7,"Dallas, TX","$95,000 - $120,000 a year"
Security Training and Awareness Analyst,Zendesk,4.4,"San Francisco, CA","$80,000 - $110,000 a year"
Security Analyst I,Park Place Technologies,3.2,"Mayfield Heights, OH","$70,000 - $100,000 a year"
Cyber Analyst - DevOps,BAE Systems,3.9,"Reston, VA","$95,000 - $130,000 a year"
IT Security Specialist,VariQ,3.6,Virginia,"$100,000 - $130,000 a year"
"Security Generalist I, II, & III",Advantage SCI,3.9,"Fort Belvoir, VA","$62,000 - $84,000 a year"
Cyber Security Purple Team Manager,Huntington Bank,3.6,"Columbus, OH","$95,000 - $140,000 a year"
Information Security Intrusion Analyst I,General Dynamics Land Systems,3.7,"Sterling Heights, MI","$69,000 - $91,000 a year"
VP Information Security,CBS,3.9,"New York, NY","$130,000 - $170,000 a year"
"Research Assistant, Justice & Security Dialogues (Sahel Maghreb)",United States Institute of Peace,3.9,"Washington, DC",$13 - $14 an hour
Cloud Security Engineer,Varo Money,4.5,"San Francisco, CA","$110,000 - $170,000 a year"
Information Systems Security / COMSEC Officer,"Amazon Web Services, Inc.",3.6,"Herndon, VA","$100,000 - $130,000 a year"
Cyber Security Engineer - Senior,ACET,3.4,Virginia,"$95,000 - $130,000 a year"
Security GRC Specialist,(ISC)²,Not Given,"Clearwater, FL","$88,000 - $120,000 a year"
Security Architect,SmartThings,Not Given,"Mountain View, CA","$130,000 - $160,000 a year"
Security Engineer,Patientco,Not Given,"Atlanta, GA","$130,000 - $170,000 a year"
Network Engineer/Network Security Engineer,Salesforce,4.2,"Herndon, VA","$120,000 - $160,000 a year"
Cyber Security Analyst Sr.,Stericycle,3.3,"Chicago, IL","$89,000 - $130,000 a year"
"Manager, Cyber Security Services - Response",KPMG,4.0,"Dallas, TX","$88,000 - $120,000 a year"
Cyber Security Specialist,ACI Federal™,Not Given,"Quantico, VA","$58,000 - $80,000 a year"
Information System Security Officer (ISSO) / Mid-Level Cybersecurity Specialist,BOEING,4.0,"Ogden, UT","$94,000 - $130,000 a year"
Sr. Cyber Security Analyst,LOCKHEED MARTIN CORPORATION,4.1,"Sunnyvale, CA","$79,000 - $110,000 a year"
Cyber Analyst - C,Telos Corporation,3.9,"Homestead AFB, FL","$75,000 - $100,000 a year"
"Director, Application Security",Hulu,4.0,"Santa Monica, CA","$110,000 - $140,000 a year"
Cyber Security Instructor 3151,Coast Guard Exchange,3.7,"New London, CT",$45 an hour
Cyber Risk Managed Services Support Specialist,Deloitte,4.0,"Seattle, WA","$88,000 - $130,000 a year"
Information Assurance (IA)/Cyber security Engineer,Leidos,3.7,"Fort Meade, MD","$100,000 - $140,000 a year"
Platform Security Engineer,Octo Consulting Group,3.7,"Boston, MA","$110,000 - $140,000 a year"
Cyber Security Professor,University of Advancing Technology,3.3,"Tempe, AZ","$89,000 - $120,000 a year"
McAfee Endpont Security Consultant,McAfee,3.7,"Fairfax, VA","$110,000 - $160,000 a year"
Supervisory Security Specialist,US Department of the Army,4.4,"Arlington, VA","$120,000 - $150,000 a year"
Security & Operational Resilience Screening Specialist,DHL Global Forwarding US,3.8,"New York, NY","$45,000 - $58,000 a year"
Information Security,CyberCore Technologies,4.2,"Annapolis Junction, MD","$100,000 - $140,000 a year"
McAfee HBSS ENS Security Consultant,McAfee,3.7,"Fairfax, VA","$110,000 - $150,000 a year"
"Physical Security Specialist, GS-0080-13",US Department of Homeland Security,3.8,"Washington, DC","$99,000 - $130,000 a year"
"Data Security, Data Security-Business",Wipro LTD,3.8,"Cincinnati, OH","$95,000 - $130,000 a year"
Security Analyst,NAVEX Global,3.0,"Atlanta, GA","$70,000 - $96,000 a year"
Security Consultant Relations Manager (HID5411),HID Global,3.5,Remote,"$75,000 - $110,000 a year"
Entry Level Information Security Associate,Reynolds and Reynolds,3.2,"Dayton, OH","$33,000 - $46,000 a year"
Cyber Security Engineer - Senior,Adams Communication & Engineering Technology,3.5,Virginia,"$94,000 - $140,000 a year"
Security Analyst,RL Canning,3.4,"Waukegan, IL","$77,000 - $110,000 a year"
Security Awareness Associate Director,Carrier,4.0,"Palm Beach Gardens, FL","$78,000 - $99,000 a year"
Sr. Security Engineer,"Everbridge, Inc.",3.5,"Pasadena, CA","$130,000 - $170,000 a year"
Senior Cyber Security Analyst,General Dynamics Information Technology,3.8,"Arlington, VA","$67,000 - $93,000 a year"
Information Security Specialist,Androscoggin Bank,3.8,"Lewiston, ME","$65,000 - $89,000 a year"
